Probe,Train Loss,Val Loss,Test Loss,Train Loss (reg),Val Loss (reg),Test Loss (reg),Test Acc,Test F1,Val-Test Gap,Val-Test Gap (reg)
baseline,0.326289,0.331798,0.467037,0.336299,0.341808,0.477046,0.755000,0.762136,0.135238,0.135238
awp_1,0.470612,0.467564,0.612247,0.480620,0.477573,0.622256,0.752500,0.795876,0.144683,0.144683
awp_2,0.434917,0.433521,0.576213,0.444927,0.443531,0.586222,0.767500,0.805846,0.142692,0.142692
awp_3,0.470959,0.477614,0.615823,0.480973,0.487628,0.625836,0.685000,0.596154,0.138208,0.138208
awp_4,0.406939,0.406425,0.546931,0.416944,0.416431,0.556937,0.777500,0.807775,0.140506,0.140506
awp_5,0.374220,0.381390,0.516546,0.384227,0.391397,0.526554,0.737500,0.705882,0.135156,0.135156
awp_6,0.383686,0.391264,0.526749,0.393691,0.401270,0.536754,0.735000,0.698864,0.135485,0.135485
awp_7,0.475953,0.480576,0.619572,0.485963,0.490586,0.629582,0.690000,0.602564,0.138996,0.138996
awp_8,0.397457,0.399300,0.538825,0.407460,0.409304,0.548828,0.775000,0.805195,0.139524,0.139524
awp_9,0.476418,0.472474,0.617725,0.486434,0.482490,0.627741,0.750000,0.794239,0.145251,0.145251
awp_10,0.376779,0.378954,0.516327,0.386786,0.388961,0.526334,0.770000,0.800000,0.137372,0.137372
awp_11,0.392065,0.399299,0.535307,0.402069,0.409303,0.545311,0.732500,0.693410,0.136008,0.136008
awp_12,0.456770,0.462797,0.600381,0.466776,0.472804,0.610387,0.692500,0.609524,0.137583,0.137583
awp_13,0.389771,0.397116,0.532427,0.399776,0.407122,0.542433,0.732500,0.695157,0.135311,0.135311
awp_14,0.458022,0.464402,0.601906,0.468033,0.474413,0.611916,0.692500,0.609524,0.137503,0.137503
awp_15,0.406757,0.415719,0.551370,0.416763,0.425725,0.561377,0.730000,0.682353,0.135652,0.135652
awp_16,0.454744,0.461060,0.598403,0.464752,0.471068,0.608411,0.692500,0.609524,0.137343,0.137343
awp_17,0.487933,0.480987,0.626326,0.497949,0.491003,0.636342,0.747500,0.792608,0.145338,0.145338
awp_18,0.440806,0.439732,0.582660,0.450815,0.449741,0.592669,0.762500,0.801670,0.142928,0.142928
awp_19,0.395295,0.396409,0.536298,0.405301,0.406415,0.546305,0.775000,0.805195,0.139890,0.139890
awp_20,0.462018,0.468394,0.605423,0.472027,0.478403,0.615432,0.692500,0.609524,0.137029,0.137029
awp_21,0.404809,0.405269,0.545024,0.414813,0.415273,0.555028,0.780000,0.810345,0.139755,0.139755
awp_22,0.400313,0.409747,0.546052,0.410322,0.419756,0.556060,0.730000,0.689655,0.136305,0.136305
awp_23,0.458022,0.464402,0.601906,0.468033,0.474413,0.611916,0.692500,0.609524,0.137503,0.137503
awp_24,0.374363,0.382983,0.518626,0.384370,0.392989,0.528632,0.737500,0.707521,0.135643,0.135643
awp_25,0.386658,0.393406,0.528763,0.396665,0.403413,0.538769,0.732500,0.695157,0.135356,0.135356
awp_26,0.423992,0.430642,0.566792,0.434002,0.440651,0.576801,0.707500,0.644377,0.136150,0.136150
awp_27,0.391305,0.393174,0.532549,0.401307,0.403176,0.542551,0.772500,0.802603,0.139375,0.139375
awp_28,0.398970,0.406485,0.542229,0.408976,0.416491,0.552235,0.727500,0.684058,0.135745,0.135745
awp_29,0.387307,0.389421,0.528525,0.397312,0.399425,0.538530,0.772500,0.802603,0.139104,0.139104
awp_30,0.384174,0.385048,0.523101,0.394176,0.395050,0.533102,0.770000,0.800000,0.138052,0.138052
awp_31,0.473091,0.471315,0.616437,0.483107,0.481331,0.626453,0.750000,0.794239,0.145122,0.145122
awp_32,0.373329,0.376016,0.513745,0.383333,0.386019,0.523749,0.767500,0.796499,0.137730,0.137730
awp_33,0.470200,0.469037,0.611761,0.480214,0.479051,0.621775,0.752500,0.796715,0.142724,0.142724
awp_34,0.382690,0.384794,0.523230,0.392697,0.394801,0.533236,0.770000,0.800000,0.138435,0.138435
awp_35,0.449652,0.456277,0.593706,0.459664,0.466289,0.603717,0.695000,0.613924,0.137429,0.137429
awp_36,0.374363,0.382983,0.518626,0.384370,0.392989,0.528632,0.737500,0.707521,0.135643,0.135643
awp_37,0.431406,0.431279,0.573488,0.441415,0.441288,0.583498,0.772500,0.808421,0.142210,0.142210
awp_38,0.382396,0.389278,0.524993,0.392402,0.399283,0.534999,0.735000,0.698864,0.135716,0.135716
awp_39,0.401092,0.409968,0.545702,0.411100,0.419975,0.555710,0.735000,0.693642,0.135734,0.135734
awp_40,0.451570,0.456941,0.593676,0.461578,0.466949,0.603683,0.695000,0.613924,0.136734,0.136734
awp_41,0.437035,0.445346,0.582811,0.447047,0.455357,0.592823,0.712500,0.646154,0.137466,0.137466
awp_42,0.461064,0.459466,0.602703,0.471075,0.469477,0.612714,0.755000,0.797521,0.143237,0.143237
awp_43,0.450208,0.457299,0.594890,0.460220,0.467311,0.604902,0.700000,0.622642,0.137591,0.137591
awp_44,0.470959,0.477614,0.615823,0.480973,0.487628,0.625836,0.685000,0.596154,0.138208,0.138208
awp_45,0.463758,0.461689,0.607311,0.473771,0.471702,0.617324,0.752500,0.795876,0.145623,0.145623
awp_46,0.412589,0.421468,0.558189,0.422595,0.431474,0.568196,0.720000,0.666667,0.136722,0.136722
awp_47,0.415483,0.422121,0.558179,0.425493,0.432130,0.568189,0.715000,0.656627,0.136059,0.136059
awp_48,0.477086,0.481537,0.620269,0.487101,0.491553,0.630284,0.690000,0.602564,0.138731,0.138731
awp_49,0.452874,0.459827,0.597226,0.462883,0.469836,0.607235,0.692500,0.609524,0.137400,0.137400
awp_50,0.440096,0.446937,0.583778,0.450108,0.456949,0.593790,0.710000,0.639752,0.136841,0.136841
