,baseline,awp_1,awp_2,awp_3,awp_4,awp_5,awp_6,awp_7,awp_8,awp_9,awp_10,awp_11,awp_12,awp_13,awp_14,awp_15,awp_16,awp_17,awp_18,awp_19,awp_20,awp_21,awp_22,awp_23,awp_24,awp_25,awp_26,awp_27,awp_28,awp_29,awp_30,awp_31,awp_32,awp_33,awp_34,awp_35,awp_36,awp_37,awp_38,awp_39,awp_40,awp_41,awp_42,awp_43,awp_44,awp_45,awp_46,awp_47,awp_48,awp_49,awp_50
baseline,1.000000,0.999897,0.999925,0.999893,0.999948,0.999965,0.999956,0.999886,0.999951,0.999896,0.999963,0.999951,0.999903,0.999954,0.999896,0.999943,0.999905,0.999891,0.999915,0.999954,0.999902,0.999947,0.999943,0.999896,0.999960,0.999956,0.999929,0.999955,0.999948,0.999958,0.999956,0.999890,0.999965,0.999885,0.999961,0.999912,0.999960,0.999926,0.999959,0.999947,0.999906,0.999920,0.999900,0.999909,0.999893,0.999900,0.999938,0.999933,0.999890,0.999910,0.999919
awp_1,0.999897,1.000000,0.999978,0.999605,0.999977,0.999752,0.999733,0.999587,0.999974,0.999978,0.999960,0.999723,0.999620,0.999728,0.999610,0.999704,0.999624,0.999976,0.999976,0.999976,0.999619,0.999975,0.999709,0.999610,0.999751,0.999731,0.999671,0.999975,0.999712,0.999972,0.999965,0.999973,0.999966,0.999968,0.999972,0.999636,0.999751,0.999982,0.999737,0.999714,0.999628,0.999655,0.999979,0.999634,0.999605,0.999983,0.999690,0.999678,0.999597,0.999632,0.999650
awp_2,0.999925,0.999978,1.000000,0.999653,0.999987,0.999794,0.999779,0.999647,0.999986,0.999982,0.999977,0.999765,0.999677,0.999770,0.999668,0.999748,0.999679,0.999978,0.999980,0.999985,0.999673,0.999985,0.999755,0.999668,0.999794,0.999774,0.999721,0.999984,0.999759,0.999985,0.999976,0.999978,0.999977,0.999969,0.999983,0.999683,0.999794,0.999985,0.999782,0.999758,0.999680,0.999706,0.999977,0.999681,0.999653,0.999979,0.999740,0.999731,0.999647,0.999683,0.999696
awp_3,0.999893,0.999605,0.999653,1.000000,0.999705,0.999970,0.999971,0.999969,0.999710,0.999600,0.999747,0.999975,0.999973,0.999977,0.999966,0.999978,0.999976,0.999592,0.999644,0.999720,0.999975,0.999701,0.999967,0.999966,0.999961,0.999974,0.999977,0.999723,0.999975,0.999729,0.999736,0.999592,0.999754,0.999586,0.999740,0.999987,0.999961,0.999662,0.999972,0.999976,0.999974,0.999980,0.999611,0.999984,1.000000,0.999613,0.999974,0.999972,0.999983,0.999981,0.999985
awp_4,0.999948,0.999977,0.999987,0.999705,1.000000,0.999835,0.999819,0.999694,0.999993,0.999979,0.999987,0.999806,0.999723,0.999812,0.999716,0.999791,0.999723,0.999978,0.999980,0.999991,0.999717,0.999991,0.999796,0.999716,0.999831,0.999815,0.999766,0.999991,0.999798,0.999992,0.999986,0.999977,0.999986,0.999964,0.999991,0.999733,0.999831,0.999989,0.999822,0.999799,0.999727,0.999750,0.999977,0.999733,0.999705,0.999977,0.999781,0.999775,0.999696,0.999730,0.999745
awp_5,0.999965,0.999752,0.999794,0.999970,0.999835,1.000000,0.999992,0.999965,0.999840,0.999748,0.999867,0.999989,0.999974,0.999996,0.999968,0.999991,0.999975,0.999744,0.999781,0.999843,0.999973,0.999832,0.999983,0.999968,0.999988,0.999993,0.999985,0.999847,0.999992,0.999853,0.999856,0.999745,0.999869,0.999739,0.999859,0.999981,0.999988,0.999798,0.999993,0.999990,0.999976,0.999980,0.999759,0.999980,0.999970,0.999755,0.999985,0.999987,0.999970,0.999979,0.999984
awp_6,0.999956,0.999733,0.999779,0.999971,0.999819,0.999992,1.000000,0.999966,0.999826,0.999733,0.999853,0.999987,0.999973,0.999991,0.999969,0.999989,0.999976,0.999726,0.999764,0.999828,0.999974,0.999816,0.999983,0.999969,0.999988,0.999992,0.999984,0.999832,0.999989,0.999840,0.999839,0.999726,0.999854,0.999718,0.999845,0.999979,0.999988,0.999783,0.999991,0.999990,0.999976,0.999983,0.999739,0.999978,0.999971,0.999739,0.999984,0.999985,0.999970,0.999977,0.999983
awp_7,0.999886,0.999587,0.999647,0.999969,0.999694,0.999965,0.999966,1.000000,0.999706,0.999583,0.999746,0.999964,0.999983,0.999970,0.999983,0.999969,0.999987,0.999581,0.999625,0.999708,0.999982,0.999697,0.999958,0.999983,0.999953,0.999969,0.999977,0.999712,0.999975,0.999722,0.999725,0.999578,0.999743,0.999584,0.999731,0.999977,0.999953,0.999644,0.999967,0.999968,0.999982,0.999970,0.999600,0.999976,0.999969,0.999587,0.999971,0.999984,0.999977,0.999979,0.999977
awp_8,0.999951,0.999974,0.999986,0.999710,0.999993,0.999840,0.999826,0.999706,1.000000,0.999975,0.999989,0.999814,0.999732,0.999818,0.999726,0.999800,0.999735,0.999971,0.999981,0.999992,0.999731,0.999994,0.999805,0.999726,0.999840,0.999822,0.999774,0.999993,0.999808,0.999995,0.999985,0.999974,0.999988,0.999967,0.999991,0.999737,0.999840,0.999987,0.999829,0.999806,0.999738,0.999760,0.999976,0.999739,0.999710,0.999975,0.999791,0.999784,0.999705,0.999739,0.999751
awp_9,0.999896,0.999978,0.999982,0.999600,0.999979,0.999748,0.999733,0.999583,0.999975,1.000000,0.999963,0.999719,0.999616,0.999722,0.999608,0.999699,0.999620,0.999983,0.999979,0.999977,0.999611,0.999976,0.999709,0.999608,0.999750,0.999726,0.999666,0.999975,0.999707,0.999973,0.999965,0.999977,0.999965,0.999964,0.999972,0.999631,0.999750,0.999982,0.999734,0.999709,0.999621,0.999653,0.999976,0.999628,0.999600,0.999983,0.999689,0.999676,0.999588,0.999627,0.999644
