,baseline,awp_1,awp_2,awp_3,awp_4,awp_5,awp_6,awp_7,awp_8,awp_9,awp_10,awp_11,awp_12,awp_13,awp_14,awp_15,awp_16,awp_17,awp_18,awp_19,awp_20,awp_21,awp_22,awp_23,awp_24,awp_25,awp_26,awp_27,awp_28,awp_29,awp_30,awp_31,awp_32,awp_33,awp_34,awp_35,awp_36,awp_37,awp_38,awp_39,awp_40,awp_41,awp_42,awp_43,awp_44,awp_45,awp_46,awp_47,awp_48,awp_49,awp_50
baseline,0.0000,0.1825,0.1675,0.2500,0.1275,0.1375,0.1500,0.2500,0.1250,0.1850,0.1200,0.1575,0.2425,0.1525,0.2425,0.1800,0.2425,0.1875,0.1675,0.1250,0.2425,0.1300,0.1600,0.2425,0.1325,0.1525,0.2075,0.1225,0.1675,0.1225,0.1200,0.1850,0.1125,0.1875,0.1200,0.2400,0.1325,0.1575,0.1500,0.1650,0.2400,0.2175,0.1800,0.2350,0.2500,0.1825,0.1900,0.2000,0.2500,0.2425,0.2250
awp_1,0.1825,0.0000,0.0150,0.4325,0.0550,0.3200,0.3325,0.4325,0.0575,0.0025,0.0625,0.3400,0.4250,0.3350,0.4250,0.3625,0.4250,0.0050,0.0150,0.0575,0.4250,0.0525,0.3425,0.4250,0.3150,0.3350,0.3900,0.0600,0.3500,0.0600,0.0625,0.0025,0.0700,0.0050,0.0625,0.4225,0.3150,0.0250,0.3325,0.3475,0.4225,0.4000,0.0025,0.4175,0.4325,0.0000,0.3725,0.3825,0.4325,0.4250,0.4075
awp_2,0.1675,0.0150,0.0000,0.4175,0.0400,0.3050,0.3175,0.4175,0.0425,0.0175,0.0475,0.3250,0.4100,0.3200,0.4100,0.3475,0.4100,0.0200,0.0050,0.0425,0.4100,0.0375,0.3275,0.4100,0.3000,0.3200,0.3750,0.0450,0.3350,0.0450,0.0475,0.0175,0.0550,0.0200,0.0475,0.4075,0.3000,0.0100,0.3175,0.3325,0.4075,0.3850,0.0125,0.4025,0.4175,0.0150,0.3575,0.3675,0.4175,0.4100,0.3925
awp_3,0.2500,0.4325,0.4175,0.0000,0.3775,0.1125,0.1000,0.0050,0.3750,0.4350,0.3700,0.0925,0.0075,0.0975,0.0075,0.0700,0.0075,0.4375,0.4175,0.3750,0.0075,0.3800,0.0900,0.0075,0.1175,0.0975,0.0425,0.3725,0.0825,0.3725,0.3700,0.4350,0.3625,0.4375,0.3700,0.0100,0.1175,0.4075,0.1000,0.0850,0.0100,0.0325,0.4300,0.0150,0.0000,0.4325,0.0600,0.0500,0.0050,0.0075,0.0250
awp_4,0.1275,0.0550,0.0400,0.3775,0.0000,0.2650,0.2775,0.3775,0.0025,0.0575,0.0075,0.2850,0.3700,0.2800,0.3700,0.3075,0.3700,0.0600,0.0400,0.0025,0.3700,0.0025,0.2875,0.3700,0.2600,0.2800,0.3350,0.0050,0.2950,0.0050,0.0075,0.0575,0.0150,0.0600,0.0075,0.3675,0.2600,0.0300,0.2775,0.2925,0.3675,0.3450,0.0525,0.3625,0.3775,0.0550,0.3175,0.3275,0.3775,0.3700,0.3525
awp_5,0.1375,0.3200,0.3050,0.1125,0.2650,0.0000,0.0125,0.1125,0.2625,0.3225,0.2575,0.0200,0.1050,0.0150,0.1050,0.0425,0.1050,0.3250,0.3050,0.2625,0.1050,0.2675,0.0225,0.1050,0.0100,0.0150,0.0700,0.2600,0.0300,0.2600,0.2575,0.3225,0.2500,0.3250,0.2575,0.1025,0.0100,0.2950,0.0125,0.0275,0.1025,0.0800,0.3175,0.0975,0.1125,0.3200,0.0525,0.0625,0.1125,0.1050,0.0875
awp_6,0.1500,0.3325,0.3175,0.1000,0.2775,0.0125,0.0000,0.1000,0.2750,0.3350,0.2700,0.0075,0.0925,0.0025,0.0925,0.0300,0.0925,0.3375,0.3175,0.2750,0.0925,0.2800,0.0100,0.0925,0.0175,0.0025,0.0575,0.2725,0.0175,0.2725,0.2700,0.3350,0.2625,0.3375,0.2700,0.0900,0.0175,0.3075,0.0000,0.0150,0.0900,0.0675,0.3300,0.0850,0.1000,0.3325,0.0400,0.0500,0.1000,0.0925,0.0750
awp_7,0.2500,0.4325,0.4175,0.0050,0.3775,0.1125,0.1000,0.0000,0.3750,0.4350,0.3700,0.0925,0.0075,0.0975,0.0075,0.0700,0.0075,0.4375,0.4175,0.3750,0.0075,0.3800,0.0900,0.0075,0.1175,0.0975,0.0425,0.3725,0.0825,0.3725,0.3700,0.4350,0.3625,0.4375,0.3700,0.0100,0.1175,0.4075,0.1000,0.0850,0.0100,0.0325,0.4300,0.0150,0.0050,0.4325,0.0600,0.0500,0.0000,0.0075,0.0250
awp_8,0.1250,0.0575,0.0425,0.3750,0.0025,0.2625,0.2750,0.3750,0.0000,0.0600,0.0050,0.2825,0.3675,0.2775,0.3675,0.3050,0.3675,0.0625,0.0425,0.0000,0.3675,0.0050,0.2850,0.3675,0.2575,0.2775,0.3325,0.0025,0.2925,0.0025,0.0050,0.0600,0.0125,0.0625,0.0050,0.3650,0.2575,0.0325,0.2750,0.2900,0.3650,0.3425,0.0550,0.3600,0.3750,0.0575,0.3150,0.3250,0.3750,0.3675,0.3500
awp_9,0.1850,0.0025,0.0175,0.4350,0.0575,0.3225,0.3350,0.4350,0.0600,0.0000,0.0650,0.3425,0.4275,0.3375,0.4275,0.3650,0.4275,0.0025,0.0175,0.0600,0.4275,0.0550,0.3450,0.4275,0.3175,0.3375,0.3925,0.0625,0.3525,0.0625,0.0650,0.0000,0.0725,0.0075,0.0650,0.4250,0.3175,0.0275,0.3350,0.3500,0.4250,0.4025,0.0050,0.4200,0.4350,0.0025,0.3750,0.3850,0.4350,0.4275,0.4100
