probe,accuracy,precision,recall,f1
baseline,0.7550,0.7406,0.7850,0.7621
awp_1,0.7525,0.6772,0.9650,0.7959
awp_2,0.7675,0.6918,0.9650,0.8058
awp_3,0.6850,0.8304,0.4650,0.5962
awp_4,0.7775,0.7110,0.9350,0.8078
awp_5,0.7375,0.8025,0.6300,0.7059
awp_6,0.7350,0.8092,0.6150,0.6989
awp_7,0.6900,0.8393,0.4700,0.6026
awp_8,0.7750,0.7099,0.9300,0.8052
awp_9,0.7500,0.6748,0.9650,0.7942
awp_10,0.7700,0.7077,0.9200,0.8000
awp_11,0.7325,0.8121,0.6050,0.6934
awp_12,0.6925,0.8348,0.4800,0.6095
awp_13,0.7325,0.8079,0.6100,0.6952
awp_14,0.6925,0.8348,0.4800,0.6095
awp_15,0.7300,0.8286,0.5800,0.6824
awp_16,0.6925,0.8348,0.4800,0.6095
awp_17,0.7475,0.6725,0.9650,0.7926
awp_18,0.7625,0.6882,0.9600,0.8017
awp_19,0.7750,0.7099,0.9300,0.8052
awp_20,0.6925,0.8348,0.4800,0.6095
awp_21,0.7800,0.7121,0.9400,0.8103
awp_22,0.7300,0.8108,0.6000,0.6897
awp_23,0.6925,0.8348,0.4800,0.6095
awp_24,0.7375,0.7987,0.6350,0.7075
awp_25,0.7325,0.8079,0.6100,0.6952
awp_26,0.7075,0.8217,0.5300,0.6444
awp_27,0.7725,0.7088,0.9250,0.8026
awp_28,0.7275,0.8138,0.5900,0.6841
awp_29,0.7725,0.7088,0.9250,0.8026
awp_30,0.7700,0.7077,0.9200,0.8000
awp_31,0.7500,0.6748,0.9650,0.7942
awp_32,0.7675,0.7082,0.9100,0.7965
awp_33,0.7525,0.6760,0.9700,0.7967
awp_34,0.7700,0.7077,0.9200,0.8000
awp_35,0.6950,0.8362,0.4850,0.6139
awp_36,0.7375,0.7987,0.6350,0.7075
awp_37,0.7725,0.6982,0.9600,0.8084
awp_38,0.7350,0.8092,0.6150,0.6989
awp_39,0.7350,0.8219,0.6000,0.6936
awp_40,0.6950,0.8362,0.4850,0.6139
awp_41,0.7125,0.8400,0.5250,0.6462
awp_42,0.7550,0.6796,0.9650,0.7975
awp_43,0.7000,0.8390,0.4950,0.6226
awp_44,0.6850,0.8304,0.4650,0.5962
awp_45,0.7525,0.6772,0.9650,0.7959
awp_46,0.7200,0.8235,0.5600,0.6667
awp_47,0.7150,0.8258,0.5450,0.6566
awp_48,0.6900,0.8393,0.4700,0.6026
awp_49,0.6925,0.8348,0.4800,0.6095
awp_50,0.7100,0.8443,0.5150,0.6398
