,baseline,awp_1,awp_2,awp_3,awp_4,awp_5,awp_6,awp_7,awp_8,awp_9,awp_10,awp_11,awp_12,awp_13,awp_14,awp_15,awp_16,awp_17,awp_18,awp_19,awp_20,awp_21,awp_22,awp_23,awp_24,awp_25,awp_26,awp_27,awp_28,awp_29,awp_30,awp_31,awp_32,awp_33,awp_34,awp_35,awp_36,awp_37,awp_38,awp_39,awp_40,awp_41,awp_42,awp_43,awp_44,awp_45,awp_46,awp_47,awp_48,awp_49,awp_50
baseline,1.000000,0.999893,0.999828,0.999816,0.999854,0.999833,0.999860,0.999856,0.999813,0.999828,0.999826,0.999778,0.999856,0.999825,0.999878,0.999799,0.999889,0.999865,0.999834,0.999811,0.999832,0.999872,0.999832,0.999858,0.999799,0.999812,0.999877,0.999865,0.999826,0.999886,0.999806,0.999751,0.999780,0.999741,0.999728,0.999782,0.999865,0.999812,0.999821,0.999868,0.999890,0.999851,0.999827,0.999884,0.999817,0.999800,0.999865,0.999807,0.999854,0.999812,0.999870
awp_1,0.999893,1.000000,0.999484,0.999469,0.999955,0.999477,0.999967,0.999962,0.999921,0.999479,0.999476,0.999442,0.999957,0.999926,0.999980,0.999906,0.999987,0.999970,0.999472,0.999465,0.999482,0.999974,0.999476,0.999971,0.999906,0.999912,0.999975,0.999971,0.999484,0.999985,0.999462,0.999411,0.999440,0.999414,0.999390,0.999438,0.999973,0.999912,0.999472,0.999968,0.999992,0.999954,0.999454,0.999988,0.999438,0.999462,0.999969,0.999423,0.999955,0.999460,0.999978
awp_2,0.999828,0.999484,1.000000,0.999958,0.999407,0.999970,0.999401,0.999407,0.999328,0.999987,0.999968,0.999922,0.999418,0.999352,0.999443,0.999327,0.999469,0.999417,0.999967,0.999968,0.999978,0.999442,0.999979,0.999417,0.999327,0.999379,0.999444,0.999416,0.999978,0.999460,0.999969,0.999924,0.999946,0.999919,0.999895,0.999942,0.999400,0.999379,0.999981,0.999423,0.999465,0.999393,0.999948,0.999451,0.999941,0.999960,0.999416,0.999928,0.999407,0.999961,0.999430
awp_3,0.999816,0.999469,0.999958,1.000000,0.999394,0.999964,0.999393,0.999398,0.999328,0.999966,0.999962,0.999915,0.999396,0.999349,0.999425,0.999318,0.999452,0.999407,0.999964,0.999944,0.999964,0.999421,0.999965,0.999408,0.999318,0.999351,0.999430,0.999400,0.999961,0.999441,0.999947,0.999899,0.999925,0.999891,0.999873,0.999925,0.999395,0.999351,0.999960,0.999405,0.999450,0.999376,0.999939,0.999437,0.999933,0.999934,0.999404,0.999922,0.999394,0.999955,0.999420
awp_4,0.999854,0.999955,0.999407,0.999394,1.000000,0.999407,0.999972,0.999958,0.999936,0.999397,0.999399,0.999340,0.999963,0.999943,0.999972,0.999915,0.999967,0.999961,0.999411,0.999392,0.999408,0.999964,0.999408,0.999941,0.999915,0.999913,0.999966,0.999974,0.999399,0.999971,0.999370,0.999310,0.999340,0.999297,0.999288,0.999349,0.999977,0.999913,0.999386,0.999974,0.999968,0.999971,0.999427,0.999964,0.999417,0.999379,0.999967,0.999405,1.000000,0.999372,0.999954
awp_5,0.999833,0.999477,0.999970,0.999964,0.999407,1.000000,0.999407,0.999411,0.999355,0.999979,0.999978,0.999938,0.999408,0.999372,0.999438,0.999346,0.999462,0.999425,0.999988,0.999951,0.999979,0.999434,0.999985,0.999421,0.999346,0.999362,0.999444,0.999415,0.999970,0.999452,0.999957,0.999904,0.999950,0.999888,0.999881,0.999938,0.999412,0.999362,0.999972,0.999419,0.999461,0.999394,0.999968,0.999452,0.999960,0.999937,0.999415,0.999953,0.999407,0.999972,0.999435
awp_6,0.999860,0.999967,0.999401,0.999393,0.999972,0.999407,1.000000,0.999988,0.999951,0.999389,0.999388,0.999345,0.999965,0.999965,0.999989,0.999924,0.999979,0.999980,0.999410,0.999384,0.999404,0.999978,0.999400,0.999954,0.999924,0.999913,0.999985,0.999990,0.999398,0.999983,0.999369,0.999316,0.999328,0.999299,0.999277,0.999349,0.999993,0.999913,0.999376,0.999989,0.999981,0.999987,0.999425,0.999977,0.999413,0.999366,0.999985,0.999402,0.999972,0.999360,0.999967
awp_7,0.999856,0.999962,0.999407,0.999398,0.999958,0.999411,0.999988,1.000000,0.999935,0.999396,0.999392,0.999354,0.999953,0.999948,0.999977,0.999909,0.999970,0.999968,0.999413,0.999390,0.999409,0.999967,0.999405,0.999947,0.999909,0.999912,0.999974,0.999977,0.999405,0.999973,0.999377,0.999325,0.999339,0.999313,0.999288,0.999357,0.999980,0.999912,0.999384,0.999975,0.999972,0.999971,0.999422,0.999969,0.999410,0.999374,0.999971,0.999398,0.999958,0.999365,0.999959
awp_8,0.999813,0.999921,0.999328,0.999328,0.999936,0.999355,0.999951,0.999935,1.000000,0.999318,0.999339,0.999275,0.999928,0.999942,0.999942,0.999911,0.999934,0.999972,0.999364,0.999305,0.999343,0.999940,0.999342,0.999921,0.999911,0.999880,0.999936,0.999944,0.999321,0.999938,0.999279,0.999214,0.999255,0.999176,0.999201,0.999264,0.999965,0.999880,0.999310,0.999947,0.999938,0.999952,0.999380,0.999940,0.999371,0.999284,0.999945,0.999366,0.999936,0.999318,0.999939
awp_9,0.999828,0.999479,0.999987,0.999966,0.999397,0.999979,0.999389,0.999396,0.999318,1.000000,0.999978,0.999932,0.999409,0.999341,0.999432,0.999319,0.999461,0.999408,0.999976,0.999976,0.999987,0.999433,0.999988,0.999412,0.999319,0.999372,0.999434,0.999405,0.999987,0.999451,0.999978,0.999930,0.999957,0.999927,0.999906,0.999951,0.999390,0.999372,0.999991,0.999412,0.999458,0.999381,0.999953,0.999445,0.999946,0.999968,0.999405,0.999933,0.999397,0.999973,0.999424
