,baseline,awp_1,awp_2,awp_3,awp_4,awp_5,awp_6,awp_7,awp_8,awp_9,awp_10,awp_11,awp_12,awp_13,awp_14,awp_15,awp_16,awp_17,awp_18,awp_19,awp_20,awp_21,awp_22,awp_23,awp_24,awp_25,awp_26,awp_27,awp_28,awp_29,awp_30,awp_31,awp_32,awp_33,awp_34,awp_35,awp_36,awp_37,awp_38,awp_39,awp_40,awp_41,awp_42,awp_43,awp_44,awp_45,awp_46,awp_47,awp_48,awp_49,awp_50
baseline,0.0000,0.4050,0.4425,0.4350,0.4250,0.4350,0.4300,0.4275,0.4400,0.4500,0.4350,0.4375,0.4250,0.4400,0.4225,0.4375,0.4100,0.4275,0.4300,0.4450,0.4400,0.4225,0.4450,0.4175,0.4375,0.4225,0.4200,0.4300,0.4475,0.4150,0.4500,0.4575,0.4525,0.4650,0.4550,0.4525,0.4300,0.4225,0.4500,0.4300,0.4100,0.4350,0.4150,0.4175,0.4150,0.4475,0.4250,0.4150,0.4250,0.4450,0.4150
awp_1,0.4050,0.0000,0.8475,0.8400,0.0200,0.8400,0.0250,0.0225,0.0350,0.8550,0.8400,0.8425,0.0200,0.0350,0.0175,0.0325,0.0050,0.0225,0.8350,0.8500,0.8450,0.0175,0.8500,0.0125,0.0325,0.0175,0.0150,0.0250,0.8525,0.0100,0.8550,0.8625,0.8575,0.8700,0.8600,0.8575,0.0250,0.0175,0.8550,0.0250,0.0050,0.0300,0.8200,0.0125,0.8200,0.8525,0.0200,0.8200,0.0200,0.8500,0.0100
awp_2,0.4425,0.8475,0.0000,0.0125,0.8675,0.0125,0.8725,0.8700,0.8825,0.0075,0.0075,0.0150,0.8675,0.8825,0.8650,0.8800,0.8525,0.8700,0.0175,0.0025,0.0075,0.8650,0.0025,0.8600,0.8800,0.8650,0.8625,0.8725,0.0050,0.8575,0.0075,0.0150,0.0100,0.0225,0.0125,0.0100,0.8725,0.8650,0.0075,0.8725,0.8525,0.8775,0.0325,0.8600,0.0325,0.0050,0.8675,0.0325,0.8675,0.0025,0.8575
awp_3,0.4350,0.8400,0.0125,0.0000,0.8600,0.0050,0.8650,0.8625,0.8750,0.0150,0.0050,0.0075,0.8600,0.8750,0.8575,0.8725,0.8450,0.8625,0.0100,0.0150,0.0050,0.8575,0.0150,0.8525,0.8725,0.8575,0.8550,0.8650,0.0125,0.8500,0.0150,0.0225,0.0175,0.0300,0.0200,0.0175,0.8650,0.8575,0.0150,0.8650,0.8450,0.8700,0.0250,0.8525,0.0250,0.0125,0.8600,0.0250,0.8600,0.0100,0.8500
awp_4,0.4250,0.0200,0.8675,0.8600,0.0000,0.8600,0.0050,0.0025,0.0150,0.8750,0.8600,0.8625,0.0000,0.0150,0.0025,0.0125,0.0150,0.0025,0.8550,0.8700,0.8650,0.0025,0.8700,0.0075,0.0125,0.0025,0.0050,0.0050,0.8725,0.0100,0.8750,0.8825,0.8775,0.8900,0.8800,0.8775,0.0050,0.0025,0.8750,0.0050,0.0150,0.0100,0.8400,0.0075,0.8400,0.8725,0.0000,0.8400,0.0000,0.8700,0.0100
awp_5,0.4350,0.8400,0.0125,0.0050,0.8600,0.0000,0.8650,0.8625,0.8750,0.0200,0.0050,0.0025,0.8600,0.8750,0.8575,0.8725,0.8450,0.8625,0.0050,0.0150,0.0100,0.8575,0.0150,0.8525,0.8725,0.8575,0.8550,0.8650,0.0175,0.8500,0.0200,0.0275,0.0225,0.0350,0.0250,0.0225,0.8650,0.8575,0.0200,0.8650,0.8450,0.8700,0.0200,0.8525,0.0200,0.0175,0.8600,0.0200,0.8600,0.0150,0.8500
awp_6,0.4300,0.0250,0.8725,0.8650,0.0050,0.8650,0.0000,0.0025,0.0100,0.8800,0.8650,0.8675,0.0050,0.0100,0.0075,0.0075,0.0200,0.0025,0.8600,0.8750,0.8700,0.0075,0.8750,0.0125,0.0075,0.0075,0.0100,0.0000,0.8775,0.0150,0.8800,0.8875,0.8825,0.8950,0.8850,0.8825,0.0000,0.0075,0.8800,0.0000,0.0200,0.0050,0.8450,0.0125,0.8450,0.8775,0.0050,0.8450,0.0050,0.8750,0.0150
awp_7,0.4275,0.0225,0.8700,0.8625,0.0025,0.8625,0.0025,0.0000,0.0125,0.8775,0.8625,0.8650,0.0025,0.0125,0.0050,0.0100,0.0175,0.0000,0.8575,0.8725,0.8675,0.0050,0.8725,0.0100,0.0100,0.0050,0.0075,0.0025,0.8750,0.0125,0.8775,0.8850,0.8800,0.8925,0.8825,0.8800,0.0025,0.0050,0.8775,0.0025,0.0175,0.0075,0.8425,0.0100,0.8425,0.8750,0.0025,0.8425,0.0025,0.8725,0.0125
awp_8,0.4400,0.0350,0.8825,0.8750,0.0150,0.8750,0.0100,0.0125,0.0000,0.8900,0.8750,0.8775,0.0150,0.0000,0.0175,0.0025,0.0300,0.0125,0.8700,0.8850,0.8800,0.0175,0.8850,0.0225,0.0025,0.0175,0.0200,0.0100,0.8875,0.0250,0.8900,0.8975,0.8925,0.9050,0.8950,0.8925,0.0100,0.0175,0.8900,0.0100,0.0300,0.0050,0.8550,0.0225,0.8550,0.8875,0.0150,0.8550,0.0150,0.8850,0.0250
awp_9,0.4500,0.8550,0.0075,0.0150,0.8750,0.0200,0.8800,0.8775,0.8900,0.0000,0.0150,0.0175,0.8750,0.8900,0.8725,0.8875,0.8600,0.8775,0.0250,0.0050,0.0100,0.8725,0.0050,0.8675,0.8875,0.8725,0.8700,0.8800,0.0025,0.8650,0.0000,0.0075,0.0025,0.0150,0.0050,0.0025,0.8800,0.8725,0.0000,0.8800,0.8600,0.8850,0.0400,0.8675,0.0400,0.0025,0.8750,0.0400,0.8750,0.0050,0.8650
