probe,accuracy,precision,recall,f1
baseline,0.6950,0.7097,0.6600,0.6839
awp_1,0.5350,0.7917,0.0950,0.1696
awp_2,0.5475,0.5262,0.9550,0.6785
awp_3,0.5550,0.5306,0.9550,0.6821
awp_4,0.5200,0.7500,0.0600,0.1111
awp_5,0.5550,0.5306,0.9550,0.6821
awp_6,0.5150,0.7143,0.0500,0.0935
awp_7,0.5175,0.7333,0.0550,0.1023
awp_8,0.5100,0.7000,0.0350,0.0667
awp_9,0.5400,0.5219,0.9550,0.6749
awp_10,0.5550,0.5306,0.9550,0.6821
awp_11,0.5525,0.5291,0.9550,0.6809
awp_12,0.5200,0.7500,0.0600,0.1111
awp_13,0.5100,0.7000,0.0350,0.0667
awp_14,0.5175,0.7059,0.0600,0.1106
awp_15,0.5075,0.6364,0.0350,0.0664
awp_16,0.5300,0.7727,0.0850,0.1532
awp_17,0.5175,0.7333,0.0550,0.1023
awp_18,0.5600,0.5335,0.9550,0.6846
awp_19,0.5450,0.5247,0.9550,0.6773
awp_20,0.5500,0.5276,0.9550,0.6797
awp_21,0.5175,0.7059,0.0600,0.1106
awp_22,0.5450,0.5247,0.9550,0.6773
awp_23,0.5225,0.7368,0.0700,0.1279
awp_24,0.5075,0.6364,0.0350,0.0664
awp_25,0.5175,0.7059,0.0600,0.1106
awp_26,0.5200,0.7222,0.0650,0.1193
awp_27,0.5150,0.7143,0.0500,0.0935
awp_28,0.5425,0.5233,0.9550,0.6761
awp_29,0.5250,0.7500,0.0750,0.1364
awp_30,0.5400,0.5219,0.9550,0.6749
awp_31,0.5475,0.5257,0.9700,0.6819
awp_32,0.5425,0.5232,0.9600,0.6772
awp_33,0.5450,0.5242,0.9750,0.6818
awp_34,0.5450,0.5245,0.9650,0.6796
awp_35,0.5425,0.5232,0.9600,0.6772
awp_36,0.5150,0.7143,0.0500,0.0935
awp_37,0.5175,0.7059,0.0600,0.1106
awp_38,0.5400,0.5219,0.9550,0.6749
awp_39,0.5150,0.7143,0.0500,0.0935
awp_40,0.5300,0.7727,0.0850,0.1532
awp_41,0.5100,0.6667,0.0400,0.0755
awp_42,0.5750,0.5426,0.9550,0.6920
awp_43,0.5225,0.7368,0.0700,0.1279
awp_44,0.5750,0.5426,0.9550,0.6920
awp_45,0.5425,0.5233,0.9550,0.6761
awp_46,0.5200,0.7500,0.0600,0.1111
awp_47,0.5750,0.5426,0.9550,0.6920
awp_48,0.5200,0.7500,0.0600,0.1111
awp_49,0.5450,0.5247,0.9550,0.6773
awp_50,0.5250,0.7500,0.0750,0.1364
